Date,Close,granularity
2012-05-29,31.8,daily
2012-05-30,32.15,daily
2012-05-31,32.5,daily
2012-06-01,30.7,daily
2012-06-04,29.6,daily
2012-06-05,29.85,daily
2012-06-06,30.1,daily
2012-06-07,29.95,daily
2012-06-08,29.1,daily
2012-06-11,30.0,daily
2012-06-12,29.35,daily
2012-06-13,29.45,daily
2012-06-14,29.45,daily
2012-06-15,29.45,daily
2012-06-18,30.9,daily
2012-06-19,30.35,daily
2012-06-20,31.5,daily
2012-06-21,31.25,daily
2012-06-22,30.3,daily
2012-06-25,30.5,daily
2012-06-26,30.6,daily
2012-06-27,30.5,daily
2012-06-28,30.5,daily
2012-06-29,31.2,daily
2012-07-02,32.45,daily
2012-07-03,32.85,daily
2012-07-04,33.2,daily
2012-07-05,33.25,daily
2012-07-06,33.1,daily
2012-07-09,31.7,daily
2012-07-10,30.55,daily
2012-07-11,30.0,daily
2012-07-12,29.55,daily
2012-07-13,29.75,daily
2012-07-16,28.4,daily
2012-07-17,29.1,daily
2012-07-18,28.45,daily
2012-07-19,29.5,daily
2012-07-20,29.3,daily
2012-07-23,28.25,daily
2012-07-24,28.1,daily
2012-07-25,28.5,daily
2012-07-26,28.65,daily
2012-07-27,29.9,daily
2012-07-30,31.95,daily
2012-07-31,33.4,daily
2012-08-01,32.6,daily
2012-08-03,32.5,daily
2012-08-06,32.95,daily
2012-08-07,33.0,daily
2012-08-08,33.4,daily
2012-08-09,33.45,daily
2012-08-10,33.6,daily
2012-08-13,33.3,daily
2012-08-14,33.3,daily
2012-08-15,33.0,daily
2012-08-16,33.3,daily
2012-08-17,32.8,daily
2012-08-20,33.45,daily
2012-08-21,34.15,daily
2012-08-22,34.1,daily
2012-08-23,34.0,daily
2012-08-24,33.7,daily
2012-08-27,33.45,daily
2012-08-28,33.95,daily
2012-08-29,33.7,daily
2012-08-30,33.55,daily
2012-08-31,33.8,daily
2012-09-03,33.85,daily
2012-09-04,33.55,daily
2012-09-05,33.85,daily
2012-09-06,33.6,daily
2012-09-07,34.0,daily
2012-09-10,34.2,daily
2012-09-11,33.8,daily
2012-09-12,33.75,daily
2012-09-13,33.35,daily
2012-09-14,33.7,daily
2012-09-17,33.45,daily
2012-09-18,33.55,daily
2012-09-19,34.2,daily
2012-09-20,33.55,daily
2012-09-21,33.2,daily
2012-09-24,33.1,daily
2012-09-25,32.8,daily
2012-09-26,32.5,daily
2012-09-27,32.15,daily
2012-09-28,32.65,daily
2012-10-01,32.7,daily
2012-10-02,33.2,daily
2012-10-03,33.2,daily
2012-10-04,33.5,daily
2012-10-05,33.55,daily
2012-10-08,33.0,daily
2012-10-09,31.45,daily
2012-10-11,32.1,daily
2012-10-12,31.6,daily
2012-10-15,31.6,daily
2012-10-16,32.4,daily
2012-10-17,32.2,daily
2012-10-18,31.4,daily
2012-10-19,30.75,daily
2012-10-22,30.9,daily
2012-10-23,30.8,daily
2012-10-24,30.6,daily
2012-10-25,30.2,daily
2012-10-26,30.1,daily
2012-10-29,30.1,daily
2012-10-30,30.5,daily
2012-10-31,28.5,daily
2012-11-01,27.35,daily
2012-11-02,28.6,daily
2012-11-05,28.8,daily
2012-11-06,29.0,daily
2012-11-07,29.3,daily
2012-11-08,28.9,daily
2012-11-09,28.9,daily
2012-11-12,28.6,daily
2012-11-13,27.5,daily
2012-11-14,28.25,daily
2012-11-15,28.2,daily
2012-11-16,28.45,daily
2012-11-19,28.5,daily
2012-11-20,28.7,daily
2012-11-21,28.0,daily
2012-11-22,28.25,daily
2012-11-23,30.1,daily
2012-11-26,30.55,daily
2012-11-27,30.1,daily
2012-11-28,29.5,daily
2012-11-29,31.0,daily
2012-11-30,31.45,daily
2012-12-03,31.35,daily
2012-12-04,31.55,daily
2012-12-05,31.6,daily
2012-12-06,31.1,daily
2012-12-07,30.75,daily
2012-12-10,32.0,daily
2012-12-11,31.6,daily
2012-12-12,31.5,daily
2012-12-13,31.5,daily
2012-12-14,31.2,daily
2012-12-17,30.7,daily
2012-12-18,30.4,daily
2012-12-19,31.05,daily
2012-12-20,30.55,daily
2012-12-21,30.5,daily
2012-12-22,30.75,daily
2012-12-24,30.7,daily
2012-12-25,31.1,daily
2012-12-26,30.95,daily
2012-12-27,30.9,daily
2012-12-28,31.0,daily
2013-01-02,31.1,daily
2013-01-03,31.45,daily
2013-01-04,31.45,daily
2013-01-07,31.4,daily
2013-01-08,31.15,daily
2013-01-09,30.25,daily
2013-01-10,31.0,daily
2013-01-11,30.5,daily
2013-01-14,30.7,daily
2013-01-15,30.5,daily
2013-01-16,30.65,daily
2013-01-17,30.35,daily
2013-01-18,30.65,daily
2013-01-21,30.5,daily
2013-01-22,30.8,daily
2013-01-23,30.5,daily
2013-01-24,30.8,daily
2013-01-25,30.4,daily
2013-01-28,30.7,daily
2013-01-29,31.25,daily
2013-01-30,31.25,daily
2013-01-31,31.05,daily
2013-02-01,31.7,daily
2013-02-04,31.8,daily
2013-02-05,31.15,daily
2013-02-06,30.2,daily
2013-02-18,30.35,daily
2013-02-19,30.35,daily
2013-02-20,30.8,daily
2013-02-21,31.0,daily
2013-02-22,31.0,daily
2013-02-23,31.3,daily
2013-02-25,31.45,daily
2013-02-26,31.4,daily
2013-02-27,31.85,daily
2013-03-01,32.4,daily
2013-03-04,32.8,daily
2013-03-05,32.6,daily
2013-03-06,33.8,daily
2013-03-07,33.1,daily
2013-03-08,34.2,daily
2013-03-11,34.0,daily
2013-03-12,33.7,daily
2013-03-13,34.05,daily
2013-03-14,34.0,daily
2013-03-15,34.0,daily
2013-03-18,33.8,daily
2013-03-19,33.6,daily
2013-03-20,32.45,daily
2013-03-21,32.55,daily
2013-03-22,32.95,daily
2013-03-25,33.25,daily
2013-03-26,33.2,daily
2013-03-27,33.95,daily
2013-03-28,34.0,daily
2013-03-29,34.0,daily
2013-04-01,34.0,daily
2013-04-02,33.95,daily
2013-04-03,34.0,daily
2013-04-08,33.35,daily
2013-04-09,32.55,daily
2013-04-10,32.2,daily
2013-04-11,32.4,daily
2013-04-12,32.35,daily
2013-04-15,32.75,daily
2013-04-16,32.25,daily
2013-04-17,31.75,daily
2013-04-18,31.45,daily
2013-04-19,33.0,daily
2013-04-22,33.9,daily
2013-04-23,33.8,daily
2013-04-24,34.45,daily
2013-04-25,34.2,daily
2013-04-26,35.25,daily
2013-04-29,35.45,daily
2013-04-30,35.0,daily
2013-05-02,34.5,daily
2013-05-03,34.95,daily
2013-05-06,35.25,daily
2013-05-07,34.75,daily
2013-05-08,34.8,daily
2013-05-09,35.5,daily
2013-05-10,35.0,daily
2013-05-13,35.3,daily
2013-05-14,35.55,daily
2013-05-15,35.5,daily
2013-05-16,35.8,daily
2013-05-17,35.5,daily
2013-05-20,35.55,daily
2013-05-21,36.05,daily
2013-05-22,36.8,daily
2013-05-23,36.0,daily
2013-05-24,35.2,daily
2013-05-27,35.4,daily
2013-05-28,35.35,daily
2013-05-29,35.3,daily
2013-05-30,35.4,daily
2013-05-31,35.05,daily
2013-06-03,35.0,daily
2013-06-04,34.8,daily
2013-06-05,34.9,daily
2013-06-06,34.25,daily
2013-06-07,35.1,daily
2013-06-10,35.45,daily
2013-06-11,35.5,daily
2013-06-13,35.1,daily
2013-06-14,34.95,daily
2013-06-17,35.75,daily
2013-06-18,37.0,daily
2013-06-19,37.1,daily
2013-06-20,36.6,daily
2013-06-21,36.2,daily
2013-06-24,36.55,daily
2013-06-25,36.0,daily
2013-06-26,37.0,daily
2013-06-27,37.5,daily
2013-06-28,37.7,daily
2013-07-01,39.0,daily
2013-07-02,38.35,daily
2013-07-03,37.8,daily
2013-07-04,37.3,daily
2013-07-05,37.8,daily
2013-07-08,36.95,daily
2013-07-09,38.0,daily
2013-07-10,37.2,daily
2013-07-11,38.15,daily
2013-07-12,37.6,daily
2013-07-15,34.45,daily
2013-07-16,34.75,daily
2013-07-17,33.45,daily
2013-07-18,33.0,daily
2013-07-19,32.2,daily
2013-07-22,32.5,daily
2013-07-23,33.2,daily
2013-07-24,33.2,daily
2013-07-25,33.0,daily
2013-07-26,33.15,daily
2013-07-29,33.45,daily
2013-07-30,34.5,daily
2013-07-31,34.85,daily
2013-08-01,34.0,daily
2013-08-02,34.2,daily
2013-08-05,33.8,daily
2013-08-06,33.5,daily
2013-08-07,33.1,daily
2013-08-08,33.4,daily
2013-08-09,33.5,daily
2013-08-12,33.0,daily
2013-08-13,33.3,daily
2013-08-14,32.85,daily
2013-08-15,33.0,daily
2013-08-16,33.2,daily
2013-08-19,33.0,daily
2013-08-20,32.8,daily
2013-08-22,32.0,daily
2013-08-23,32.5,daily
2013-08-26,32.8,daily
2013-08-27,32.7,daily
2013-08-28,33.0,daily
2013-08-29,33.15,daily
2013-08-30,33.6,daily
2013-09-02,33.7,daily
2013-09-03,33.8,daily
2013-09-04,34.05,daily
2013-09-05,34.3,daily
2013-09-06,34.45,daily
2013-09-09,34.7,daily
2013-09-10,35.1,daily
2013-09-11,35.25,daily
2013-09-12,35.2,daily
2013-09-13,34.9,daily
2013-09-14,34.6,daily
2013-09-16,35.3,daily
2013-09-17,35.3,daily
2013-09-18,34.7,daily
2013-09-23,35.75,daily
2013-09-24,35.6,daily
2013-09-25,35.6,daily
2013-09-26,35.0,daily
2013-09-27,35.1,daily
2013-09-30,34.55,daily
2013-10-01,34.65,daily
2013-10-02,35.45,daily
2013-10-03,36.1,daily
2013-10-04,35.9,daily
2013-10-07,36.2,daily
2013-10-08,36.0,daily
2013-10-09,35.4,daily
2013-10-11,35.2,daily
2013-10-14,35.25,daily
2013-10-15,35.9,daily
2013-10-16,35.55,daily
2013-10-17,35.75,daily
2013-10-18,35.85,daily
2013-10-21,35.9,daily
2013-10-22,36.6,daily
2013-10-23,36.0,daily
2013-10-24,35.95,daily
2013-10-25,36.0,daily
2013-10-28,35.7,daily
2013-10-29,36.0,daily
2013-10-30,36.65,daily
2013-10-31,35.7,daily
2013-11-01,35.1,daily
2013-11-04,34.9,daily
2013-11-05,34.1,daily
2013-11-06,34.85,daily
2013-11-07,34.5,daily
2013-11-08,34.55,daily
2013-11-11,34.3,daily
2013-11-12,34.75,daily
2013-11-13,34.1,daily
2013-11-14,33.8,daily
2013-11-15,33.75,daily
2013-11-18,34.25,daily
2013-11-19,34.65,daily
2013-11-20,34.45,daily
2013-11-21,33.8,daily
2013-11-22,34.0,daily
2013-11-25,34.15,daily
2013-11-26,34.0,daily
2013-11-27,34.9,daily
2013-11-28,35.0,daily
2013-11-29,35.0,daily
2013-12-02,35.6,daily
2013-12-03,35.1,daily
2013-12-04,35.25,daily
2013-12-05,35.05,daily
2013-12-06,34.65,daily
2013-12-09,34.4,daily
2013-12-10,34.95,daily
2013-12-11,35.8,daily
2013-12-12,35.0,daily
2013-12-13,34.9,daily
2013-12-16,36.4,daily
2013-12-17,35.35,daily
2013-12-18,35.1,daily
2013-12-19,35.55,daily
2013-12-20,35.6,daily
2013-12-23,35.05,daily
2013-12-24,35.2,daily
2013-12-25,35.6,daily
2013-12-26,35.2,daily
2013-12-27,35.3,daily
2013-12-30,35.85,daily
2013-12-31,35.6,daily
2014-01-02,35.65,daily
2014-01-03,36.2,daily
2014-01-06,35.5,daily
2014-01-07,35.85,daily
2014-01-08,36.3,daily
2014-01-09,36.35,daily
2014-01-10,36.95,daily
2014-01-13,37.5,daily
2014-01-14,37.15,daily
2014-01-15,37.55,daily
2014-01-16,38.0,daily
2014-01-17,37.5,daily
2014-01-20,38.0,daily
2014-01-21,37.85,daily
2014-01-22,37.8,daily
2014-01-23,37.5,daily
2014-01-24,37.5,daily
2014-01-27,37.05,daily
2014-02-05,35.4,daily
2014-02-06,36.8,daily
2014-02-07,36.3,daily
2014-02-10,36.95,daily
2014-02-11,37.35,daily
2014-02-12,37.55,daily
2014-02-13,37.7,daily
2014-02-14,37.85,daily
2014-02-17,37.85,daily
2014-02-18,38.2,daily
2014-02-19,38.8,daily
2014-02-20,38.2,daily
2014-02-21,38.1,daily
2014-02-24,37.9,daily
2014-02-25,38.15,daily
2014-02-26,38.1,daily
2014-02-27,38.2,daily
2014-03-03,37.65,daily
2014-03-04,37.45,daily
2014-03-05,38.0,daily
2014-03-06,38.8,daily
2014-03-07,38.0,daily
2014-03-10,38.2,daily
2014-03-11,39.25,daily
2014-03-12,39.9,daily
2014-03-13,41.85,daily
2014-03-14,40.85,daily
2014-03-17,40.8,daily
2014-03-18,40.15,daily
2014-03-19,39.55,daily
2014-03-20,39.3,daily
2014-03-21,40.75,daily
2014-03-24,40.6,daily
2014-03-25,40.7,daily
2014-03-26,40.65,daily
2014-03-27,40.0,daily
2014-03-28,40.4,daily
2014-03-31,40.5,daily
2014-04-01,41.2,daily
2014-04-02,43.25,daily
2014-04-03,42.4,daily
2014-04-07,41.45,daily
2014-04-08,42.4,daily
2014-04-09,42.15,daily
2014-04-10,43.0,daily
2014-04-11,41.75,daily
2014-04-14,41.55,daily
2014-04-15,42.3,daily
2014-04-16,42.0,daily
2014-04-17,42.3,daily
2014-04-18,42.8,daily
2014-04-21,42.8,daily
2014-04-22,42.5,daily
2014-04-23,42.5,daily
2014-04-24,41.95,daily
2014-04-25,42.05,daily
2014-04-28,42.9,daily
2014-04-29,43.65,daily
2014-04-30,44.25,daily
2014-05-02,45.0,daily
2014-05-05,43.8,daily
2014-05-06,44.5,daily
2014-05-07,44.0,daily
2014-05-08,44.55,daily
2014-05-09,44.75,daily
2014-05-12,43.4,daily
2014-05-13,43.3,daily
2014-05-14,43.85,daily
2014-05-15,44.25,daily
2014-05-16,43.45,daily
2014-05-19,44.0,daily
2014-05-20,45.1,daily
2014-05-21,44.3,daily
2014-05-22,46.0,daily
2014-05-23,46.0,daily
2014-05-26,45.65,daily
2014-05-27,46.8,daily
2014-05-28,47.2,daily
2014-05-29,47.95,daily
2014-05-30,48.0,daily
2014-06-03,48.25,daily
2014-06-04,48.8,daily
2014-06-05,50.3,daily
2014-06-06,50.8,daily
2014-06-09,49.55,daily
2014-06-10,50.0,daily
2014-06-11,49.95,daily
2014-06-12,49.4,daily
2014-06-13,48.95,daily
2014-06-16,49.1,daily
2014-06-17,48.2,daily
2014-06-18,48.2,daily
2014-06-19,49.95,daily
2014-06-20,49.35,daily
2014-06-23,49.0,daily
2014-06-24,48.55,daily
2014-06-25,49.95,daily
2014-06-26,49.45,daily
2014-06-27,48.5,daily
2014-06-30,49.05,daily
2014-07-01,49.8,daily
2014-07-02,50.2,daily
2014-07-03,51.2,daily
2014-07-04,51.7,daily
2014-07-07,55.3,daily
2014-07-08,54.5,daily
2014-07-09,53.9,daily
2014-07-10,50.3,daily
2014-07-11,49.3,daily
2014-07-14,49.8,daily
2014-07-15,49.85,daily
2014-07-16,47.0,daily
2014-07-17,45.7,daily
2014-07-18,46.5,daily
